n_fft,n_mels,seed,seg_acc,track_hard,track_soft,best_epoch,total_epochs,train_time_sec
512,64,42,0.7946666479110718,0.8266666666666667,0.8466666666666667,71,81,381.1
512,64,123,0.7906666398048401,0.8666666666666667,0.88,90,100,470.2
512,64,456,0.7940000295639038,0.8666666666666667,0.8733333333333333,100,110,504.1
512,64,789,0.7866666913032532,0.8533333333333334,0.86,83,93,430.3
512,64,1024,0.7893333435058594,0.8733333333333333,0.88,72,82,382.3
1024,64,42,0.7866666913032532,0.8466666666666667,0.8666666666666667,93,103,471.5
1024,64,123,0.7913333177566528,0.84,0.8666666666666667,70,80,369.9
1024,64,456,0.7873333096504211,0.8533333333333334,0.86,70,80,367.9
1024,64,789,0.7773333191871643,0.8333333333333334,0.8533333333333334,73,83,384.1
1024,64,1024,0.7733333110809326,0.82,0.8333333333333334,69,79,366.0
2048,64,42,0.7706666588783264,0.8466666666666667,0.8466666666666667,85,95,445.1
2048,64,123,0.7680000066757202,0.8333333333333334,0.84,80,90,418.3
2048,64,456,0.7933333516120911,0.86,0.8733333333333333,104,114,523.8
2048,64,789,0.7646666765213013,0.8333333333333334,0.8333333333333334,58,68,315.6
2048,64,1024,0.7773333191871643,0.8533333333333334,0.8533333333333334,70,80,369.1
