n_fft,n_mels,seed,seg,trk
512,128,42,0.7900000214576721,0.8533333333333334
512,128,123,0.7873333096504211,0.88
512,128,456,0.7886666655540466,0.8533333333333334
512,128,789,0.7913333177566528,0.86
512,128,1024,0.7693333625793457,0.8533333333333334
1024,128,42,0.7900000214576721,0.8866666666666667
1024,128,123,0.8013333082199097,0.8933333333333333
1024,128,456,0.7766666412353516,0.84
1024,128,789,0.8086666464805603,0.9
1024,128,1024,0.7919999957084656,0.8533333333333334
2048,128,42,0.8033333420753479,0.88
2048,128,123,0.8133333325386047,0.8733333333333333
2048,128,456,0.7946666479110718,0.86
2048,128,789,0.8033333420753479,0.8466666666666667
2048,128,1024,0.7973333597183228,0.8466666666666667
512,64,42,0.7946666479110718,0.8266666666666667
512,64,123,0.7906666398048401,0.8666666666666667
512,64,456,0.7940000295639038,0.8666666666666667
512,64,789,0.7866666913032532,0.8533333333333334
512,64,1024,0.7893333435058594,0.8733333333333333
1024,64,42,0.7866666913032532,0.8466666666666667
1024,64,123,0.7913333177566528,0.84
1024,64,456,0.7873333096504211,0.8533333333333334
1024,64,789,0.7773333191871643,0.8333333333333334
1024,64,1024,0.7733333110809326,0.82
2048,64,42,0.7706666588783264,0.8466666666666667
2048,64,123,0.7680000066757202,0.8333333333333334
2048,64,456,0.7933333516120911,0.86
2048,64,789,0.7646666765213013,0.8333333333333334
2048,64,1024,0.7773333191871643,0.8533333333333334
