cfg,seed,track,true,hard,soft,n_tied,hard_ok,soft_ok
512/128,42,hiphop.00060.wav,4,8,4,2,False,True
512/128,42,jazz.00049.wav,5,2,2,2,False,False
512/128,123,jazz.00057.wav,5,1,1,2,False,False
512/128,123,reggae.00080.wav,8,8,4,2,True,False
512/128,123,reggae.00021.wav,8,0,9,2,False,False
512/128,123,rock.00013.wav,9,2,8,2,False,False
512/128,456,blues.00007.wav,0,0,0,2,True,True
512/128,456,country.00043.wav,2,9,9,2,False,False
512/128,456,jazz.00057.wav,5,1,5,2,False,True
512/128,789,disco.00013.wav,3,3,3,2,True,True
512/128,789,hiphop.00024.wav,4,3,4,2,False,True
512/128,789,hiphop.00060.wav,4,8,4,2,False,True
512/128,789,jazz.00057.wav,5,1,1,2,False,False
512/128,789,rock.00033.wav,9,2,2,2,False,False
512/128,1024,metal.00029.wav,6,3,6,2,False,True
512/256,42,country.00042.wav,2,9,2,2,False,True
512/256,42,country.00090.wav,2,9,2,2,False,True
512/256,42,disco.00013.wav,3,7,7,2,False,False
512/256,42,pop.00009.wav,7,7,7,2,True,True
512/256,42,pop.00011.wav,7,1,7,2,False,True
512/256,42,rock.00038.wav,9,2,9,2,False,True
512/256,123,country.00075.wav,2,0,0,2,False,False
512/256,123,metal.00029.wav,6,3,6,2,False,True
512/256,123,pop.00086.wav,7,7,7,2,True,True
512/256,123,pop.00011.wav,7,1,1,2,False,False
512/256,123,reggae.00021.wav,8,0,0,2,False,False
512/256,123,rock.00098.wav,9,0,0,2,False,False
512/256,456,country.00075.wav,2,9,0,2,False,False
512/256,456,pop.00040.wav,7,2,7,2,False,True
512/256,456,pop.00011.wav,7,1,1,2,False,False
512/256,789,blues.00099.wav,0,5,5,2,False,False
512/256,789,country.00042.wav,2,9,2,2,False,True
512/256,789,reggae.00080.wav,8,8,8,2,True,True
512/256,789,rock.00075.wav,9,9,9,2,True,True
512/256,1024,blues.00007.wav,0,2,0,2,False,True
512/256,1024,jazz.00049.wav,5,2,5,3,False,True
512/256,1024,jazz.00021.wav,5,0,0,2,False,False
512/256,1024,rock.00086.wav,9,9,9,2,True,True
512/512,42,hiphop.00051.wav,4,4,4,2,True,True
512/512,42,hiphop.00039.wav,4,4,4,2,True,True
512/512,42,jazz.00029.wav,5,0,5,2,False,True
512/512,42,jazz.00021.wav,5,0,5,3,False,True
512/512,42,reggae.00055.wav,8,3,3,2,False,False
512/512,42,reggae.00021.wav,8,0,0,2,False,False
512/512,42,rock.00044.wav,9,2,2,2,False,False
512/512,123,blues.00056.wav,0,0,0,2,True,True
512/512,123,country.00042.wav,2,9,2,2,False,True
512/512,123,rock.00038.wav,9,3,3,2,False,False
512/512,123,rock.00075.wav,9,3,0,2,False,False
512/512,123,rock.00086.wav,9,9,9,2,True,True
512/512,456,disco.00020.wav,3,2,2,2,False,False
